Per capita total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,22.11455733,29.68499802,32.12432754,35.57760535,36.16763603,40.35876347,38.25510762,45.56577175,44.46595221
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,105.8707656,145.874213,156.1202951,183.8021109,225.2532138,266.3956283,279.0824812,303.1146674,326.0341345,379.8264165,406.9015262,450.9440234,493.8825569,557.3873215,591.4834212,577.2758159
Algeria,192.2438073,180.3733264,196.1247261,206.1367902,202.6223562,188.0736808,212.2353068,225.208426,234.9011856,227.2055383,221.5028793,232.7801892,273.0555805,299.3987162,364.5439395,330.0061553
American Samoa,,,,,,,,,,,,,,,,
Andorra,1468.685064,1596.140032,1785.686282,2319.864615,1825.072993,1966.806392,1954.305347,2152.617156,2225.100628,2327.568749,2476.411767,2850.048649,3022.875316,3218.212284,3403.376051,3254.524918
Angola,68.57356198,43.04596827,48.12840121,41.65230327,44.31575507,56.24612563,82.23639005,63.35772644,72.09131737,62.97062468,71.33332106,104.3135986,130.9319714,190.8407269,297.2886394,168.1305569
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,501.8135551,502.2717266,527.2492777,543.9026327,565.2567559,584.6703998,579.8228139,595.2926781,641.4621997,689.30638,734.3333002,815.1752852,895.9748376,886.9462667,872.5344157,990.5522526
Argentina,648.1123218,663.8697362,753.1131541,800.2224909,849.9960658,839.3387077,829.9435119,657.9836689,724.2237208,806.3103404,915.8486219,1016.675343,1124.978869,1217.506224,1385.692886,1286.678797
Armenia,89.36824802,88.19324925,93.68066319,102.4970619,106.6009868,127.5257923,136.1431159,142.4950323,170.7390653,191.3218847,199.1032849,199.733059,217.0784533,229.7747332,244.9339561,238.5221217
Aruba,,,,,,,,,,,,,,,,
Australia,1596.537533,1700.61543,1804.000654,1941.546408,2085.299782,2252.727448,2373.557882,2543.450068,2658.094774,2860.819645,2958.261806,3137.686345,3313.792536,3408.736167,3483.764413,3441.042109
Austria,2237.858435,2305.099607,2446.137722,2603.340383,2733.147526,2861.531273,2905.428323,3057.574228,3198.567633,3393.159124,3475.558191,3722.113902,3880.597143,4128.47947,4288.341805,4387.915343
Azerbaijan,87.39314913,94.39157247,89.28337484,98.83760441,105.0750278,102.3991574,109.1493673,121.0512236,199.4306173,269.1918875,342.6151764,366.5289306,382.5150134,386.0611179,553.5571676,579.0726752
Bahamas,1197.916391,1241.979418,1262.763458,1285.834694,1333.310444,1365.246376,1405.670401,1503.198506,1593.656287,1752.188188,1854.203972,2091.353716,2179.390601,2231.670902,2085.956614,1988.453844
Bahrain,820.7400989,833.6189518,865.6048983,896.9590362,914.2124338,815.3217349,928.6064161,1027.051794,1075.571571,1048.258995,1014.239307,955.0152212,953.9794026,974.4686861,1083.00081,1083.064955
Bangladesh,11.37606323,11.49714818,9.26703214,9.34867734,9.70799964,9.87735009,10.26760503,10.87360205,11.49441475,12.6063214,13.15139826,14.39728837,16.47743078,18.22649638,20.6398674,23.54348368
Barbados,638.4475695,650.321915,667.3944182,666.8875964,693.9072849,790.9905918,830.0743766,925.4477874,915.4747275,1199.160485,1059.555767,1373.098464,1433.56679,1474.120745,1178.655278,1523.448826
Belarus,231.7017456,224.9137728,271.0579086,270.4628301,295.0538714,318.7009509,370.7157074,388.3093622,434.4201257,500.0052946,585.1870528,617.4272824,712.8320011,752.795999,782.2623382,786.1190215
Belgium,1710.382967,1805.503197,1852.527725,1922.669655,2048.803212,2246.178385,2365.674928,2543.14048,3035.161431,3165.115939,3232.788385,3280.108454,3437.886416,3715.00009,3947.83366,4025.111266
Belize,163.6047514,140.4386492,155.8896103,154.7694623,160.929038,196.6852681,233.5555331,236.9790148,268.2184447,273.2312832,287.9257307,301.8128294,335.799967,351.0983428,393.2480312,377.6118321
Benin,47.8406902,48.27783876,46.95750909,49.25804537,52.75572251,52.56683525,59.55173417,53.03333129,59.02989451,59.77538652,64.91708251,66.38588403,67,64,69,65
Bermuda,,,,,,,,,,,,,,,,
Bhutan,60.73703383,90.94723082,110.50069,120.2804822,158.5455951,165.2372575,164.6707049,228.2907416,151.6329267,142.218127,162.0418092,195.216431,223.6586958,245.8124809,253.9592924,274.7596187
Bolivia,121.6907685,130.9026713,130.9299549,157.4716145,190.9464619,192.094444,203.3641621,214.8080641,188.57555,189.9205883,210.4832324,192.4198222,199.3512614,223.0870054,237.0752869,233.3076231
Bosnia and Herzegovina,151.2742279,287.7337573,282.7933442,315.1309699,369.260047,314.9954186,337.0646437,351.1755799,423.6012709,526.950043,576.0460478,667.8381032,769.8318649,892.0563623,933.7733345,972.4338034
Botswana,248.8839224,266.2390636,304.954201,313.3205348,305.7830283,400.2527125,469.760485,583.3975583,615.4244244,926.3778024,883.6173164,832.6788619,1034.141696,1060.144436,1295.543924,1144.622603
Brazil,417.2564678,439.8154395,453.7311924,448.7092794,472.9650208,502.240276,520.6505871,530.3793326,528.2291929,575.7482155,695.1946632,766.6407673,827.9447925,862.2136957,920.9271779,1028.292038
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,1227.351108,1577.652557,1542.957847,1816.726819,1721.780879,1284.468889,1403.098746,1425.206486,1450.677179,1426.622219,1277.846766,1177.333881,1241.797337,1194.996708,1515.824837,1448.742594
Bulgaria,290.6502865,241.3205096,256.609812,286.0085941,338.3809183,384.938269,505.1339947,574.6958137,624.0969776,650.6111993,719.4048901,763.4497801,841.7393573,972.23528,994.7190907,947.4131405
Burkina Faso,28.15590408,32.37082857,34.10151025,36.99965664,39.95808885,39.39446297,40.20077556,42.16514503,49.846595,57.65021709,69.67385091,70.60100235,73.15921738,80.87147672,88.80691061,92.58418072
Burundi,18.37348093,17.50218511,15.89176329,18.13770274,17.61862662,19.84044101,21.75793981,23.22514139,23.66939066,34.73334813,42.32117068,52.02083371,52.31656801,48.61907792,45.4038611,47.28520011
Cambodia,43.02005587,65.35718691,57.93179356,52.42094825,51.97272585,58.03720332,70.93048491,79.84893183,97.47866118,104.0838066,112.5135714,100.9794956,96.3167236,106.9541256,110.2756995,121.0834797
Cameroon,51.88271065,72.27878824,68.00273614,67.39226789,69.9346675,73.51036196,80.59984552,86.16057126,91.54834258,90.791983,94.25814038,96.89403005,101.2033879,111.9220846,116.6762467,121.55002
Canada,2054.113249,2055.860409,2150.189447,2309.223698,2416.209728,2519.119611,2732.903261,2871.074975,3058.334645,3210.732294,3449.054315,3673.45136,3849.577809,3995.922838,4314.426611,4403.62198
Cape Verde,76.19282459,72.19015713,72.49142102,86.17767422,86.57901424,95.11909489,108.4325495,111.0967915,109.8022937,120.6197749,125.1227316,159.9131885,167.5584679,177.0086491,174.4225747,184.0162679
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,22.42827143,21.28185229,23.32148822,22.29648922,23.21121647,26.11005901,26.22108119,26.65539175,25.57078629,25.95586602,25.06602208,26.75677415,30.44249817,30.02533373,30.48863701,31.14518154
Chad,36.42631357,34.90585358,36.77845222,37.71693478,39.87061683,41.75137527,44.17142087,62.44572376,50.95346562,59.69464703,64.99090442,55.56623865,58.05029135,48.95412477,60.3326536,61.66632138
Channel Islands,,,,,,,,,,,,,,,,
Chile,500.1265541,599.9352805,641.6528414,711.5802408,724.0103883,768.4258899,815.855855,834.5581293,779.6124658,798.2341709,842.720026,863.5745952,958.8799253,1093.918889,1208.553991,1198.727359
China,52.60137545,62.60310987,73.45688056,85.68379423,96.06017468,108.131445,117.9208601,136.3994582,153.5306845,169.3111363,191.0335298,214.8768902,240.4471977,284.7581374,347.1570939,378.9129564
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,405.7676685,495.4898806,559.0516177,545.461771,522.082721,428.792441,437.5038351,449.0422369,494.3770456,510.344076,544.0165061,580.8414686,618.5232144,621.8897592,686.6862356,712.5860624
Comoros,36.49143169,34.47698263,35.32517859,31.40055133,29.87911024,26.85187199,22.05531238,28.25254972,30.71383623,33.92706406,38.55903594,42.44892739,46.0698304,49.08690013,34.33628582,49.10829496
"Congo, Dem. Rep.",10.90165284,9.86714639,11.08876317,12.60086269,10.73754638,11.19127897,9.90807003,9.87603707,12.53531808,14.22334227,16.20229017,17.87425716,19.12568443,23.76356735,31.35477149,27.24756103
"Congo, Rep.",81.03823698,75.65678775,76.4330443,97.77076632,78.75270247,58.38915315,69.25522591,72.44692175,77.7158941,78.94312572,81.35588332,84.93052989,95.71918831,97.573236,108.4606429,103.5164894
Cook Is,272.1419071,248.7823892,211.877031,225.2329999,197.7674835,241.0080435,341.5841967,280.0905039,313.9012562,314.0620103,366.4584541,340.3000488,360.1628239,367.2184608,382.2439958,416.1465075
Costa Rica,382.5957605,391.2344583,379.6679344,414.1611214,439.0168439,470.6562893,520.6633695,573.8488137,620.3843667,653.9494732,702.1424936,796.3887086,969.3855281,1059.973666,1154.761185,1241.525455
