Life Expectancy,State
86.9,AK
76,AK
79.5,AK
81.3,AK
77.6,AK
80,AK
81,AK
81.5,AK
78,AK
69.2,AK
74.3,AK
76,AK
76.7,AK
76.9,AK
69.8,AK
78.3,AK
72.4,AK
67.3,AK
81,AK
82.3,AK
74.5,AK
79.9,AK
79.5,AK
81.2,AK
76.8,AK
79.4,AK
76.7,AK
78.2,AK
73,AK
73,AK
71.4,AK
79.1,AK
86.7,AK
80,AK
81.1,AK
80,AK
75.8,AK
77.2,AK
76.6,AK
77,AK
77.6,AK
81.4,AK
81.4,AK
81.1,AK
82.8,AK
75,AK
78,AK
80.8,AK
84,AK
81,AK
78.8,AK
81.1,AK
82,AK
80.2,AK
74,AK
79.9,AK
86.5,AK
80,AK
65.7,AK
77.5,AK
71,AK
83.1,AK
76.4,AK
77.3,AK
79.5,AK
79.8,AK
79.9,AK
79.3,AK
83.3,AK
81.4,AK
78,AK
80.2,AK
76.1,AK
81.2,AK
82.6,AK
79.3,AK
80.1,AK
79.6,AK
85.2,AK
72.4,AK
83.7,AK
86,AK
80.2,AK
80.8,AK
80.2,AK
78,AK
77.4,AK
81.7,AK
84.2,AK
82.1,AK
76.9,AK
79.7,AK
79,AK
81.8,AK
81,AK
77.4,AK
80,AK
81,AK
81.6,AK
80.6,AK
79,AK
77,AK
79.7,AK
76.9,AK
81,AK
77.2,AK
86,AK
81,AK
77.9,AK
80.8,AK
79.4,AK
77.4,AK
77.5,AK
76.9,AK
79.3,AK
79.2,AK
74.3,AK
77.1,AK
79.7,AK
78.2,AK
79.5,AK
81.8,AK
77.5,AK
77.3,AK
81.1,AK
84.7,AK
79.7,AK
80.2,AK
76.9,AK
75.1,AK
79.9,AK
84.6,AK
77.9,AK
79,AK
76.7,AK
79.2,AK
78.8,AK
80.8,AK
76.7,AK
79,AK
79,AK
81,AK
82.9,AK
78.7,AK
75.1,AK
76.7,AK
75.1,AK
78.2,AK
86.9,AK
76,AK
79.5,AK
81.3,AK
77.6,AK
80,AK
81,AK
81.5,AK
78,AK
69.2,AK
74.3,AK
76,AK
76.7,AK
76.9,AK
69.8,AK
78.3,AK
72.4,AK
67.3,AK
81,AK
82.3,AK
74.5,AK
79.9,AK
79.5,AK
81.2,AK
76.8,AK
79.4,AK
76.7,AK
78.2,AK
73,AK
73,AK
71.4,AK
79.1,AK
86.7,AK
80,AK
81.1,AK
80,AK
75.8,AK
77.2,AK
76.6,AK
77,AK
77.6,AK
81.4,AK
