"","State.diff","State.lwr","State.upr","State.p.adj"
"AL-AK",-4.10155325624106,-5.05885455830462,-3.1442519541775,0
"AR-AK",-3.28864084451745,-4.31194643461045,-2.26533525442444,0
"AZ-AK",-0.550798431232465,-1.49251426848449,0.390917406019563,0.979841664492076
"CA-AK",1.31547329659665,0.449046575654252,2.18190001753905,1.70736700799701e-06
"CO-AK",0.550412947821258,-0.409338114090127,1.51016400973264,0.985557901262203
"CT-AK",1.18586431258545,0.188224097427836,2.18350452774307,0.00220825155182947
"DC-AK",-2.50766175267194,-3.92819890502791,-1.08712460031597,2.40595499079177e-09
"DE-AK",-1.12160114660844,-2.46397963933066,0.220777346113778,0.341006887184488
"FL-AK",-0.540660157771043,-1.42331464169117,0.341994326149081,0.958487836352758
"GA-AK",-2.30071528688435,-3.21873598058207,-1.38269459318664,3.98236998933044e-13
"HI-AK",2.39935307647617,1.18265318001785,3.61605297293449,5.42277334147911e-12
"IA-AK",0.148243920609033,-0.846820782795807,1.14330862401387,1
"ID-AK",0.170123795116979,-1.04221103297913,1.38245862321309,1
"IL-AK",-0.750072914647504,-1.64197575540926,0.141829926114254,0.324753414723781
"IN-AK",-2.15005197506035,-3.08300705011018,-1.21709690001052,5.77538017410006e-13
"KS-AK",-0.864641508735332,-1.87357386361121,0.144290846140551,0.27955758529635
"KY-AK",-3.35113862667808,-4.31385941494891,-2.38841783840725,0
"LA-AK",-3.54286556452341,-4.5057900724937,-2.57994105655312,0
"MA-AK",1.42470512419879,0.488371322230924,2.36103892616667,1.57398236011463e-06
"MD-AK",-0.216154979871362,-1.15766945508144,0.725359495338718,1
"MI-AK",-1.57553279461501,-2.47277848676525,-0.678287102464779,3.13722381406478e-09
"MN-AK",1.55337097080525,0.610150932199394,2.4965910094111,6.3188550170068e-08
"MO-AK",-1.95848439487199,-2.89893971180832,-1.01802907793565,6.61914967281518e-13
"MS-AK",-3.8885991776296,-4.91867523678564,-2.85852311847357,0
"MT-AK",-0.0967170111346292,-1.34596832609434,1.15253430382509,1
"NC-AK",-1.51863541624246,-2.43007220443691,-0.607198628048011,3.76393483048076e-08
"ND-AK",0.481382536376358,-0.867168994651875,1.82993406740459,0.999999932897325
"NE-AK",0.111367089975246,-0.961731652356592,1.18446583230708,1
"NH-AK",1.04048782824761,-0.176212068210713,2.25718772470593,0.284481798685109
"NJ-AK",0.675104279750286,-0.238813652526114,1.58902221202669,0.670074661418869
"NM-AK",-0.368787293792522,-1.45736070191198,0.719786114326934,0.999999988608705
"NV-AK",-1.36638229138774,-2.40665184270048,-0.326112740074996,0.000184447840841595
"NY-AK",1.41133432200338,0.534255017672567,2.2884136263342,1.70948247224523e-07
"OH-AK",-2.34844097344876,-3.24251848369512,-1.4543634632024,4.6251891205884e-13
"OK-AK",-3.04520754357411,-4.01370069108494,-2.07671439606327,0
"OR-AK",0.172357548624291,-0.824933967726184,1.16964906497477,1
"PA-AK",-0.85472354708277,-1.74473248666146,0.0352853924959243,0.0858697583313863
"RI-AK",0.169727316595427,-1.12512956344917,1.46458419664002,1
"SC-AK",-2.35227924388742,-3.31781397347396,-1.38674451430088,5.82422998718357e-13
"SD-AK",0.872019268064705,-0.449022813006109,2.19306134913552,0.888348467518108
"TN-AK",-3.38521509675989,-4.32349921190988,-2.44693098160991,0
"TX-AK",-1.05155667985457,-1.92771341083648,-0.175399948872662,0.00177864087543567
"UT-AK",0.45087736990105,-0.607945649029742,1.50970038883184,0.999984545041893
"VA-AK",-0.588861883472475,-1.51104427335654,0.333320506411593,0.926035277403918
"VT-AK",2.10674517373889,0.712511604038099,3.50097874343967,2.0388442453223e-06
"WA-AK",0.759860919307314,-0.177315431821704,1.69703727043633,0.419665110747541
"WV-AK",-3.2245341165645,-4.31082950218256,-2.13823873094644,0
"WY-AK",1.24547640860611,-0.346377737604961,2.83733055481718,0.517170411433367
"AR-AL",0.812912411723616,0.0924417924710861,1.53338303097615,0.00655261646710892
"AZ-AL",3.5507548250086,2.95179547695414,4.14971417306305,0
"CA-AL",5.41702655283771,4.94520153733565,5.88885156833978,0
"CO-AL",4.65196620406232,4.02503264830816,5.27889975981648,0
"CT-AL",5.28741756882651,4.60389026038137,5.97094487727166,0
"DC-AL",1.59389150356913,0.373297638389502,2.81448536874875,0.000216624433112989
"DE-AL",2.97995210963262,1.85127872897119,4.10862549029405,4.90385509976932e-13
